X 		 Y 		 Z 
20 		 100 		 0.9996 		 % max 
 
1 		 43 		  0.99952216 
1 		 42 		  0.00089742 
1 		 41 		  0.00258288 
1 		 39 		  0.00049829 
1 		 38 		  0.00010162 
1 		 37 		  0.00014294 
1 		 36 		  0.00051407 
1 		 35 		  0.00366817 
1 		 34 		  0.00091018 
1 		 33 		  0.00229501 
1 		 31 		  0.00060356 
1 		 30 		  0.00105871 
1 		 29 		  0.00024134 
1 		 28 		  0.00060469 
1 		 27 		  0.00367365 
1 		 25 		  0.00080705 
1 		 22 		  0.00015447 
1 		 5 		  0.00029349 
1 		 4 		  0.00013310 
1 		 3 		  0.99959555 
1 		 2 		  0.02524176 
1 		 1 		  0.98961946 
2 		 100 		  0.00543762 
2 		 99 		  0.00106437 
2 		 98 		  0.00666099 
2 		 97 		  0.00323591 
2 		 96 		  0.00165271 
2 		 95 		  0.07085548 
2 		 94 		  0.00118310 
2 		 93 		  0.00175825 
2 		 92 		  0.00038687 
2 		 91 		  0.00170055 
2 		 90 		  0.00036184 
2 		 89 		  0.00162663 
2 		 88 		  0.00033647 
2 		 87 		  0.00083415 
2 		 85 		  0.00058803 
2 		 81 		  0.00017914 
2 		 80 		  0.00109948 
2 		 79 		  0.00044843 
2 		 77 		  0.00079801 
2 		 76 		  0.00203888 
2 		 75 		  0.00193459 
2 		 74 		  0.00053975 
2 		 73 		  0.00160797 
2 		 72 		  0.00052746 
2 		 71 		  0.00056914 
2 		 70 		  0.00391308 
2 		 69 		  0.00041401 
2 		 68 		  0.00044464 
2 		 67 		  0.00207508 
2 		 66 		  0.00030833 
2 		 65 		  0.00607043 
2 		 64 		  0.00101713 
2 		 63 		  0.00389813 
2 		 62 		  0.00156374 
2 		 61 		  0.00216009 
2 		 60 		  0.00282519 
2 		 59 		  0.00191601 
2 		 58 		  0.00227936 
2 		 56 		  0.00142898 
2 		 55 		  0.00018063 
2 		 54 		  0.00034229 
2 		 53 		  0.00025719 
2 		 52 		  0.00019868 
2 		 51 		  0.00034701 
2 		 50 		  0.00021253 
2 		 49 		  0.00017027 
